Postcode,Accommodation and food services,Arts and recreation services,Financial and insurance services,Health care and social assistance,Information media and telecommunications,lat,lng,population
2601,5,0,3,0,0,-35.280, 149.110,6369
2602,11,9,18,22,5,-35.260, 149.150,30449
2914,9,4,23,7,3,-35.170, 149.130,25203
2614,3,0,10,18,7,-35.260, 149.080,19387
2906,4,3,10,0,11,-35.520, 149.080,17641
2617,304,88,302,298,62,-35.240, 149.070,32513
2905,3,0,8,7,9,-35.430, 149.080,28609
2612,35,7,23,19,15,-35.270, 149.130,16187
2913,7,0,3,5,13,-35.200, 149.130,35046
2611,3,4,25,23,0,-35.560, 148.620,0
2615,7,3,5,4,17,-35.200, 149.030,44177
2606,3,4,6,14,0,-35.350, 149.080,9430
2600,148,12,125,89,22,-35.310, 149.140,7231
2911,6,0,7,15,30,-35.220, 149.120,4457
2605,5,4,21,47,11,-35.320, 149.080,11720
2904,0,4,17,16,3,-35.400, 149.120,12853
2607,10,3,26,24,23,-35.380, 149.100,13620
2603,14,4,50,44,5,-35.320, 149.120,9366
2609,66,12,113,11,16,-35.300, 149.190,901
2618,0,3,8,9,115,-35.520, 149.080,0
2072,14,0,21,7,10,-33.760, 151.160,7664
2900,26,3,10,29,172,-35.420, 149.070,1922
2912,233,75,270,167,20,-35.520, 149.080,6146
2620,3,0,5,192,186,-35.580, 149.230,0
2706,6,0,21,26,5,-34.560, 146.010,1158
2902,26,8,58,37,6,-35.380, 149.050,14909
2783,0,0,0,0,0,-33.720, 150.430,2628
2604,15,8,26,5,22,-35.320, 149.150,10388
2903,4,0,3,25,7,-35.400, 149.100,9215
